view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories,label
4103984,120966,6462,406,44,36054,16,6,6,21,3
27553446,173313,14307,836,100,454984,46,7,6,21,1
9507587,74610,6976,612,42,116715,36,14,8,21,3
3619895,154373,14047,1342,44,41628,57,14,10,21,3
5537425,86630,5830,333,23,56972,21,14,12,21,3
7352884,72938,3246,490,32,64383,10,1,1,22,1
1027496,32180,1951,102,7,9534,11,3,1,22,1
480374,63808,774,67,16,7304,3,2,2,22,3
1728079,78037,2595,165,16,11895,11,5,5,22,3
18578841,193829,13256,1567,161,236993,85,8,7,22,2
6967163,142751,5938,539,55,88985,31,9,8,22,2
6193344,199197,4960,594,53,77509,31,11,8,22,3
7069041,132565,4076,362,31,248298,20,13,8,22,2
2126780,78657,4773,268,46,31239,28,19,10,22,1
95153,12367,576,76,17,823,11,0,0,23,2
3283177,89153,2840,371,46,28736,37,0,0,23,1
3354167,75480,2881,358,30,24793,24,1,1,23,2
3354167,75480,2881,358,30,24793,24,1,1,23,2
18762374,117690,8196,1399,87,191510,124,7,1,23,1
1353387,54653,2623,99,12,11337,13,2,2,23,1
10508469,82036,3829,394,30,52546,25,2,2,23,3
6069596,125503,9388,551,18,71538,29,2,2,23,1
18209513,163046,8790,1648,103,214496,28,19,4,23,1
14398998,325980,22026,1025,70,155250,32,111,7,23,2
2687828,35413,3513,213,29,28008,14,12,9,23,3
8997565,52514,2926,313,29,195754,3,13,9,23,3
8815357,159479,5606,502,48,116314,113,16,12,23,3
9994129,71248,4484,412,30,62819,18,0,0,24,1
6539452,79083,11059,732,17,68786,30,1,1,24,1
1178755,21954,1063,90,9,14235,1,2,2,24,3
5535875,48157,4712,352,35,52390,19,3,3,24,3
1346220,130966,1671,239,32,9728,15,4,3,24,2
4546163,56643,2359,88,2,63236,4,6,3,24,1
3133240,60793,5446,424,34,28455,30,7,3,24,3
12550508,135891,9744,976,67,126058,79,4,4,24,1
6061062,115007,6544,139,10,87318,7,11,7,24,1
4848897,36566,6750,202,20,43220,23,11,10,24,3
6156869,100788,5738,331,33,98848,7,14,12,24,3
9462167,170580,10361,1135,63,91024,35,15,14,24,3
9667702,188641,8050,859,116,77342,66,1,1,25,2
6784519,84360,6548,969,82,61183,31,4,3,25,1
3373256,136325,5157,299,30,30791,113,15,5,25,1
4871391,62256,4130,396,43,36193,17,9,6,25,3
29533499,178786,14248,1058,83,325062,45,20,12,25,1
14809007,137372,11244,1050,133,185798,46,41,27,25,3
2844497,34152,2030,401,41,31046,42,1,1,26,3
6654314,38131,5050,387,26,63056,18,1,1,26,1
14085482,118984,4404,633,134,153485,37,2,2,26,2
24993509,33729,6699,751,58,266155,13,2,2,26,1
3579902,117406,4285,404,46,50428,49,7,4,26,2
9195389,187676,6422,550,39,66018,29,6,6,26,3
5058797,185123,5612,174,28,123240,5,6,6,26,3
13086559,124466,7300,625,66,183680,65,7,6,26,1
11479660,177938,6476,1252,57,87938,40,7,7,26,1
14845120,89957,10327,1345,98,301864,56,33,11,26,1
10416233,179447,9989,1306,82,83130,21,5,5,27,1
9301478,197033,6854,785,68,80346,58,11,9,27,2
30980561,155493,10688,1671,168,241195,90,12,9,27,2
2707278,108799,4730,208,22,51411,107,21,11,27,3
9624700,72271,4643,832,98,118969,56,24,11,27,3
8882397,135576,8481,516,31,63588,40,32,13,27,3
6229998,375231,10717,1876,190,82604,36,25,19,27,3
13255097,182190,12823,1047,64,153441,15,92,30,27,3
4564496,61624,4592,421,40,46811,39,0,0,28,2
1238475,42668,3240,249,26,18720,25,2,1,28,2
5054470,325174,5865,415,28,33792,44,3,2,28,2
7605178,181417,12719,1211,88,74550,47,3,3,28,2
1558288,213670,4931,355,45,12349,21,9,5,28,2
602992,88744,3045,95,9,6321,11,9,7,28,3
6365724,172111,8006,890,57,64961,57,15,8,28,2
1505129,74146,1307,150,25,14065,9,0,0,29,2
9325370,125476,10688,277,13,164609,4,3,1,29,1
3340555,138691,3662,538,67,39846,11,3,3,29,2
12461562,181812,5877,687,74,116609,41,4,3,29,2
10199055,170918,10743,789,32,52311,24,10,3,29,3
8336903,173017,14379,490,34,84832,40,19,13,29,3
1405240,222257,4974,310,34,13325,35,2,2,30,2
4418334,53909,2315,213,16,26992,9,2,2,30,3
11163083,169966,7015,488,20,88997,39,3,2,30,2
1671859,192018,3988,275,30,16731,14,8,3,30,2
4437634,185148,5405,447,49,18112,23,6,5,30,3
2463074,102201,6003,843,49,20989,42,6,5,30,2
4248694,187645,6372,555,56,39289,17,10,5,30,2
5459768,137977,6883,393,37,52961,15,11,9,30,3
7689889,75734,3272,326,35,112971,16,27,14,30,3
13941267,298665,13054,1431,124,157024,52,31,20,30,3
588590,106847,3746,209,33,18379,18,0,0,31,3
16640308,58268,3031,367,34,321567,7,3,2,31,1
3139151,66186,5202,349,31,25743,48,4,2,31,2
8161330,165121,7418,233,13,103354,7,4,3,31,1
377526,85862,2315,83,9,4300,6,8,5,31,1
8863293,257304,10888,1330,110,78718,77,7,7,31,1
11085385,114680,16723,722,40,186613,29,14,10,31,3
6770977,153868,14438,710,39,101168,25,17,12,31,3
1350722,36613,1332,275,27,10539,13,0,0,32,2
4784194,104467,5199,269,39,53078,16,6,6,32,3
7585527,258665,4866,587,70,65154,54,11,6,32,2
10795404,139273,14982,1127,57,129342,30,11,11,32,3
1738452,24702,719,108,4,18761,4,2,1,33,1
883195,42420,1194,131,18,16758,24,2,2,33,1
32156514,220948,16796,1604,104,316179,35,5,4,33,2
8977583,116756,4927,1003,85,84329,46,12,8,33,1
56316780,204402,9719,1475,143,501483,20,18,9,33,2
7233617,110310,4706,551,48,91333,22,1,1,34,1
8369078,116402,5509,723,92,118694,42,2,2,34,2
3191399,111362,5726,765,52,24093,13,6,5,34,2
35149331,162040,10303,1696,93,399524,19,8,6,34,2
13728277,54650,6398,685,56,162403,19,9,9,34,3
10854061,96274,5967,572,66,162547,31,23,21,34,3
10727917,88525,3790,594,57,103960,20,8,6,35,3
11610637,97821,6124,415,36,92985,14,9,9,35,1
30892328,179274,9108,1143,103,270782,26,23,11,35,2
3248546,138859,7808,437,45,61619,45,1,1,36,2
5902428,132612,4875,262,14,32535,23,3,2,36,1
14237182,138652,10886,846,76,117885,50,7,3,36,1
7708816,194795,7984,566,58,77648,38,11,8,36,3
8817188,49654,6560,856,44,84759,32,9,9,36,3
7709328,145965,10485,440,47,118288,21,24,13,36,3
2516672,53577,6663,272,32,14107,9,2,2,37,3
7765224,349173,11577,1150,102,59284,34,14,7,37,2
17034004,216717,13269,978,42,223418,30,14,10,37,1
9908049,85344,3797,869,79,126466,14,21,11,37,3
7112235,167998,8196,391,45,64404,47,15,13,37,3
2348609,73628,3188,329,32,27967,19,1,1,38,2
1592884,201265,3817,121,10,16849,14,2,1,38,1
1401722,136761,2761,283,34,13245,21,8,5,38,2
7518738,233321,11030,1414,63,59125,47,8,6,38,2
77682904,197949,12407,3742,202,1543888,65,18,10,38,1
6425836,102126,2359,217,18,53350,6,6,5,39,3
3589878,207288,8392,525,43,30792,34,9,6,39,2
9266340,105004,8161,614,46,85235,18,19,12,39,3
1933933,109270,3654,311,22,15483,6,3,3,40,1
2985428,44337,4430,265,34,14783,10,4,4,40,3
7070874,123182,7373,399,38,93298,15,13,4,40,2
10065592,70769,4509,698,55,122026,28,11,5,40,2
8293003,100406,7076,609,63,87036,35,31,16,40,3
39952739,212041,16636,1819,218,351863,53,9,8,41,2
6901644,272598,6317,696,51,71111,61,19,9,41,2
65254841,301346,9600,1225,379,623361,117,77,31,41,2
1770104,90427,1785,194,20,13584,18,1,1,42,0
10650603,143201,6929,467,36,170102,33,2,2,42,2
234813,297535,7456,323,33,6936,47,4,4,42,2
1979816,71826,1523,192,22,28337,68,6,4,42,3
1830220,65753,3995,542,34,20637,93,16,10,42,3
8203882,184956,9073,1325,99,64357,24,4,4,43,2
17698298,120091,6291,625,49,230061,31,6,5,43,2
11595924,160112,4459,750,76,108888,17,21,12,43,1
19258666,144485,6422,554,50,340766,11,26,19,43,3
25835526,258963,30920,3407,230,299283,115,36,21,43,1
5491006,181818,4457,501,54,43278,34,0,0,44,2
3010325,86232,2611,271,20,24869,7,10,7,44,2
31206468,277929,10155,1095,107,345691,40,31,20,44,2
2770390,92764,4322,344,34,19648,13,3,3,45,3
20546409,312373,10458,1218,98,241216,46,6,4,45,2
27534434,265077,21309,1640,150,391127,36,38,23,45,1
3830876,146546,4406,416,32,28424,19,2,2,46,2
4785003,129643,7292,777,45,48766,27,3,2,46,2
5427619,78658,5974,406,46,49139,9,4,4,47,1
4448068,69387,3118,577,59,47180,13,15,4,48,3
6958642,88399,5077,445,41,72354,11,4,4,49,3
8269063,254161,6092,615,93,109687,50,41,10,50,3
24756098,247400,16915,1412,99,269260,34,25,14,50,3
510613501,426183,36510,3278,465,641111,111,155,49,50,2
23262570,105638,7737,1269,80,236547,20,2,2,51,2
13213285,175662,10396,1613,123,124697,30,3,3,51,2
53078122,243249,31556,3059,183,630620,74,12,7,51,2
10747907,144001,11803,887,72,161452,19,49,28,51,3
23728902,187490,20625,2548,167,272592,98,18,11,52,2
19201917,238921,10891,1540,102,222772,41,5,4,53,2
7974027,173686,6745,635,56,129538,42,17,12,53,3
15715202,192986,11555,1348,112,198034,43,6,3,54,1
14860198,178670,10718,742,71,205119,22,14,6,54,1
72957075,305394,26153,4751,302,1113463,47,44,18,55,2
33774785,185991,11321,1574,136,349616,47,11,8,56,1
8121102,117884,6327,578,51,69141,9,0,0,57,1
17488785,147377,9043,797,84,214835,43,8,6,57,2
6970088,121371,11176,708,77,70712,38,0,0,59,1
16009319,223753,13893,1172,91,439959,23,132,65,59,3
56231743,171144,27062,3278,228,617685,54,29,13,61,2
31464013,386557,19135,1725,116,431663,89,36,18,61,2
15564742,242517,10167,1042,120,176188,23,50,29,61,3
9044931,185525,11369,467,60,101844,24,19,14,63,3
14058071,269493,12154,1406,102,120316,63,4,3,64,2
24314642,317332,15572,1425,107,296810,51,29,11,64,2
36833818,361568,20328,2469,230,316463,44,13,8,71,2
5713840,126871,6019,895,81,53874,41,5,5,78,3
1303,320,3,25,50,0,2,0,0,15,0
693,75,1,154,41,1,0,0,0,15,2
413,37,2,25,50,1,0,0,0,15,3
9716,59,2,25,50,1,0,0,0,15,0
148,69,2,25,50,1,0,0,0,15,3
779,69,2,25,50,1,0,0,0,15,3
804,122,2,25,50,1,0,0,0,15,0
3481,208,4,25,50,1,1,0,0,15,0
2578,159,8,25,50,1,4,0,0,15,0
1785,63,9,25,50,1,0,0,0,15,2
920,63,3,98,29,2,0,0,0,15,2
2353,59,1,25,50,2,0,0,0,15,0
3128,68,2,25,50,2,0,0,0,15,2
48414,63,6,25,50,2,0,0,0,15,2
1711,452,6,25,50,2,1,0,0,15,0
504,54,103,25,50,2,0,0,0,15,3
1285,60,1,25,50,3,0,0,0,15,2
1543,292,7,25,50,3,1,0,0,15,0
1527,53,1,63,30,4,0,0,0,15,3
9617,60,1,25,50,4,0,0,0,15,0
2084,367,3,25,50,4,1,0,0,15,0
2851,1130,19,25,50,4,1,0,0,15,0
4675,50,1,25,50,5,0,0,0,15,0
3931,63,4,25,50,6,0,0,0,15,2
7683,1470,8,25,50,6,0,0,0,15,0
2400,54,2,25,50,7,0,0,0,15,3
4085,134,5,25,50,9,1,0,0,15,0
3964,2091,18,25,50,9,1,0,0,15,0
2431,224,7,25,50,13,0,0,0,15,0
36453,63,2,25,50,14,0,0,0,15,0
10617,63,1,25,50,15,0,0,0,15,2
5859,413,45,25,50,15,1,0,0,15,2
9971,2245,27,25,50,18,0,0,0,15,0
5374,5643,39,25,50,19,1,0,0,15,0
10927,456,10,25,50,23,1,0,0,15,0
5248,258,6,25,50,24,2,0,0,15,0
53002,52,1,25,50,28,0,0,0,15,1
3345,45,5,25,50,29,0,0,0,15,3
129174,58,2,44,22,31,0,0,0,15,3
78732,41,2,25,50,43,0,0,0,15,1
139828,78,1,47,47,52,0,0,0,15,3
2779,74,3,25,50,71,0,0,0,15,3
9554,4321,19,25,50,72,0,0,0,15,0
504283,74,1,25,50,85,0,0,0,15,1
14292,2955,22,25,50,92,0,0,0,15,0
2328,56,2,190,50,94,0,0,0,15,2
20983,1223,14,25,50,106,1,0,0,15,0
12456,403,18,25,50,111,2,0,0,15,0
20610,8813,148,25,50,115,5,0,0,15,2
32057,19033,75,25,50,135,3,0,0,15,0
15032,1847,15,25,50,148,1,0,0,15,0
11820,4629,22,25,50,180,0,0,0,15,0
23126,5575,749,44,2,240,13,0,0,15,3
143773,21613,431,25,50,247,1,0,0,15,3
38318,967,108,25,50,251,1,0,0,15,1
29299,1102,30,25,50,268,0,0,0,15,0
36815,4927,63,25,50,273,3,0,0,15,0
79464,47,1,25,50,280,0,0,0,15,0
246054,21513,547,25,50,285,1,0,0,15,3
49321,534,15,25,50,316,3,0,0,15,0
101717,2083,422,97,5,341,16,0,0,15,1
93381,26,3,80,7,395,0,0,0,15,2
219824,46,1,25,50,407,0,0,0,15,1
2296048,65,3,137,9,547,0,0,0,15,3
146342,1590,426,34,2,605,6,0,0,15,1
126553,12539,49,25,50,609,0,0,0,15,0
43200,2462,21,25,50,610,2,0,0,15,0
138747,1864,195,25,50,618,4,0,0,15,3
1564023,68,1,112,65,634,0,0,0,15,1
2356364,69,1,102,57,912,0,0,0,15,1
393472,351,203,65,15,1406,2,0,0,15,2
271376,4332,123,25,50,1711,14,0,0,15,0
825646,24,5,163,5,2226,0,0,0,15,1
323522,17401,3939,60,50,2342,3,0,0,15,1
241878,59,1,25,50,2472,0,0,0,15,0
7198866,58,1,209,57,4337,0,0,0,15,3
611925,1153,237,37,7,5651,3,0,0,15,1
594202,52,4,308,15,5738,0,0,0,15,3
806461,1505,1102,103,17,8985,6,0,0,15,1
4345535,47,1,443,43,12080,0,0,0,15,3
1671146,2319,4734,199,13,14883,6,0,0,15,1
46190476,2608,1174,136,16,32839,8,0,0,15,1
38902600027,3508,4247,116826,5546,169933313,57,0,0,15,3
3325,4803,11,25,50,11,3,1,1,15,0
84719,1648,171,82,8,981,1,1,1,15,1
4703470,3540,1799,694,26,10274,25,1,1,15,2
12873852,101189,4729,253,11,108595,3,1,1,15,2
44043,3579,64,25,50,36,3,2,1,15,0
28302,13221,123,25,50,200,0,2,1,15,0
1369235,58852,5336,177,18,7262,57,6,4,15,3
1661173,57444,5838,170,21,7826,21,17,6,15,3
12172990,208407,14620,3810,101,278528,114,23,16,15,1
2208118,0,0,416,12,0,0,5,2,15,3
1,0,0,25,50,0,0,5,2,15,3
558,0,0,25,50,0,0,5,2,15,0
1067,0,0,25,50,0,0,5,2,15,3
363464,0,0,25,50,0,0,5,2,15,3
